venue_name,venue_type,block,floor,capacity,projector,led_tv,smart_board,ac,wifi,cctv,audio_video,num_pcs,department_preference,status
Food microbiology,Laboratory,Eastern Wing - AS Block,1,10,0,0,0,0,1,1,0,0,Food Tech,Active
AE301,Classroom,Research park,3,50,0,0,0,1,0,0,0,0,General,Active
AE302,Classroom,Research park,3,50,0,0,0,1,0,0,0,0,General,Active
MH301,Classroom,Research park,3,50,0,0,0,1,0,0,0,1,General,Active
MH302,Classroom,Research park,3,50,0,0,0,1,0,0,0,1,General,Active
MH303,Classroom,Research park,3,50,0,0,0,1,0,0,0,1,General,Active
MH305,Classroom,Research park,3,50,0,0,0,1,0,0,0,1,General,Active
MH306,Classroom,Research park,3,50,0,0,0,1,0,0,0,1,General,Active
AE 202,Classroom,Research park,2,50,0,0,0,1,0,0,0,1,General,Active
Aero DH,Drawing Hall,Research park,1,94,0,0,0,1,0,0,0,0,General,Active
Aero Conference Hall,CONFERENCE HALL,Research park,0,20,0,0,0,1,0,0,0,0,General,Active
AERO SEMINAR HALL,SEMINAR HALL,Research park,0,72,1,1,1,1,1,0,0,1,General,Active
LEARNING CENTRE CONFERENCE HALL - I FLOOR,CONFERENCE HALL,Learning Centre,1,13,1,1,0,1,1,1,0,0,LEARNING CENTRE,Active
LEARNING CENTRE CONFERENCE HALL - II FLOOR,CONFERENCE HALL,Learning Centre,2,14,1,1,0,1,0,1,0,0,LEARNING CENTRE,Active
LEARNING CENTRE CONFERENCE HALL - III FLOOR,CONFERENCE HALL,Learning Centre,3,14,1,1,0,1,0,1,0,0,LEARNING CENTRE,Active
LEARNING CENTRE CONFERENCE HALL - IV FLOOR,CONFERENCE HALL,Learning Centre,4,13,0,0,0,1,0,1,0,0,LEARNING CENTRE,Active
LEARNING CENTRE DISCUSSION ROOM- 1 I FLOOR,DISCUSSION ROOM,Learning Centre,1,10,0,0,0,1,1,1,0,0,LEARNING CENTRE,Active
LEARNING CENTRE DISCUSSION ROOM- 2 I FLOOR,DISCUSSION ROOM,Learning Centre,1,10,0,0,0,1,1,1,0,1,LEARNING CENTRE,Active
LEARNING CENTRE DISCUSSION ROOM- 1 II FLOOR,DISCUSSION ROOM,Learning Centre,2,10,0,0,0,1,1,1,0,1,LEARNING CENTRE,Active
LEARNING CENTRE DISCUSSION ROOM- 2 II FLOOR,DISCUSSION ROOM,Learning Centre,2,10,0,0,0,1,0,1,0,0,LEARNING CENTRE,Active
LEARNING CENTRE DISCUSSION ROOM- 1 III FLOOR,DISCUSSION ROOM,Learning Centre,3,10,0,0,0,1,0,1,0,0,LEARNING CENTRE,Active
LEARNING CENTRE DISCUSSION ROOM- 2 III FLOOR,DISCUSSION ROOM,Learning Centre,3,10,0,0,0,1,1,1,0,0,LEARNING CENTRE,Active
LEARNING CENTRE DISCUSSION ROOM- 1 IV FLOOR,DISCUSSION ROOM,Learning Centre,4,10,0,0,0,1,1,1,0,0,LEARNING CENTRE,Active
LEARNING CENTRE DISCUSSION ROOM- 2 IV FLOOR,DISCUSSION ROOM,Learning Centre,4,10,0,0,0,1,1,1,0,0,LEARNING CENTRE,Active
Library First Floor,Self Study Hall,Learning Centre,1,120,0,1,0,1,1,1,1,1,LEARNING CENTRE,Active
Library Second Floor,Self Study Hall,Learning Centre,2,150,0,1,0,1,1,1,1,4,LEARNING CENTRE,Active
Library Third Floor,Self Study Hall,Learning Centre,3,150,0,1,0,1,1,1,1,2,LEARNING CENTRE,Active
